Time,Heart Rate
00:00:00,53
00:01:00,55
00:02:00,50
00:03:00,50
00:04:00,51
00:05:00,51
00:06:00,52
00:07:00,53
00:08:00,49
00:09:00,51
00:10:00,53
00:11:00,52
00:12:00,50
00:13:00,51
00:14:00,50
00:15:00,46
00:16:00,49
00:17:00,48
00:18:00,47
00:19:00,47
00:20:00,48
00:21:00,48
00:22:00,50
00:23:00,49
00:24:00,49
00:25:00,48
00:26:00,50
00:27:00,49
00:28:00,47
00:29:00,51
00:30:00,50
00:31:00,49
00:32:00,50
00:33:00,47
00:34:00,49
00:35:00,51
00:36:00,54
00:37:00,58
00:38:00,54
00:39:00,56
00:40:00,53
00:41:00,54
00:42:00,53
00:43:00,56
00:44:00,56
00:45:00,54
00:46:00,53
00:47:00,54
00:48:00,51
00:49:00,52
00:50:00,56
00:51:00,57
00:52:00,51
00:53:00,54
00:54:00,53
00:55:00,52
00:56:00,53
00:57:00,53
00:58:00,52
00:59:00,53
01:00:00,53
01:01:00,51
01:02:00,54
01:03:00,52
01:04:00,53
01:05:00,52
01:06:00,57
01:07:00,57
01:08:00,55
01:09:00,56
01:10:00,58
01:11:00,55
01:12:00,53
01:13:00,51
01:14:00,53
01:15:00,57
01:16:00,56
01:17:00,56
01:18:00,55
01:19:00,53
01:20:00,52
01:21:00,52
01:22:00,55
01:23:00,53
01:24:00,52
01:25:00,54
01:26:00,51
01:27:00,51
01:28:00,51
01:29:00,52
01:30:00,54
01:31:00,53
01:32:00,55
01:33:00,53
01:34:00,53
01:35:00,51
01:36:00,51
01:37:00,55
01:38:00,53
01:39:00,51
01:40:00,51
01:41:00,50
01:42:00,55
01:43:00,56
01:44:00,52
01:45:00,52
01:46:00,53
01:47:00,55
01:48:00,55
01:49:00,62
01:50:00,66
01:51:00,65
01:52:00,59
01:53:00,60
01:54:00,57
01:55:00,59
01:56:00,60
01:57:00,62
01:58:00,60
01:59:00,58
02:00:00,58
02:01:00,52
02:02:00,52
02:03:00,58
02:04:00,59
02:05:00,60
02:06:00,60
02:07:00,58
02:08:00,62
02:09:00,64
02:10:00,57
02:11:00,62
02:12:00,63
02:13:00,66
02:14:00,67
02:15:00,68
02:16:00,68
02:17:00,69
02:18:00,68
02:19:00,64
02:20:00,55
02:21:00,58
02:22:00,57
02:23:00,54
02:24:00,55
02:25:00,57
02:26:00,57
02:27:00,57
02:28:00,59
02:29:00,60
02:30:00,61
02:31:00,61
02:32:00,59
02:33:00,61
02:34:00,64
02:35:00,65
02:36:00,57
02:37:00,58
02:38:00,58
02:39:00,61
02:40:00,58
02:41:00,56
02:42:00,57
02:43:00,59
02:44:00,56
02:45:00,56
02:46:00,50
02:47:00,54
02:48:00,52
02:49:00,54
02:50:00,52
02:51:00,51
02:52:00,51
02:53:00,54
02:54:00,52
02:55:00,52
02:56:00,56
02:57:00,54
02:58:00,53
02:59:00,55
03:00:00,53
03:01:00,52
03:02:00,48
03:03:00,49
03:04:00,51
03:05:00,51
03:06:00,50
03:07:00,48
03:08:00,48
03:09:00,47
03:10:00,49
03:11:00,51
03:12:00,49
03:13:00,49
03:14:00,50
03:15:00,49
03:16:00,49
03:17:00,52
03:18:00,52
03:19:00,51
03:20:00,51
03:21:00,50
03:22:00,54
03:23:00,52
03:24:00,50
03:25:00,57
03:26:00,53
03:27:00,54
03:28:00,55
03:29:00,52
03:30:00,51
03:31:00,52
03:32:00,59
03:33:00,51
03:34:00,51
03:35:00,51
03:36:00,52
03:37:00,52
03:38:00,51
03:39:00,50
03:40:00,50
03:41:00,49
03:42:00,50
03:43:00,50
03:44:00,48
03:45:00,47
03:46:00,52
03:47:00,49
03:48:00,52
03:49:00,50
03:50:00,49
03:51:00,48
03:52:00,50
03:53:00,52
03:54:00,54
03:55:00,49
03:56:00,49
03:57:00,49
03:58:00,50
03:59:00,50
04:00:00,51
04:01:00,52
04:02:00,50
04:03:00,50
04:04:00,48
04:05:00,48
04:06:00,49
04:07:00,51
04:08:00,54
04:09:00,51
04:10:00,52
04:11:00,51
04:12:00,52
04:13:00,52
04:14:00,52
04:15:00,52
04:16:00,49
04:17:00,48
04:18:00,48
04:19:00,48
04:20:00,48
04:21:00,48
04:22:00,49
04:23:00,55
04:24:00,51
04:25:00,56
04:26:00,61
04:27:00,56
04:28:00,50
04:29:00,50
04:30:00,50
04:31:00,49
04:32:00,48
04:33:00,53
04:34:00,60
04:35:00,62
04:36:00,68
04:37:00,61
04:38:00,50
04:39:00,48
04:40:00,48
04:41:00,45
04:42:00,45
04:43:00,46
04:44:00,47
04:45:00,48
04:46:00,48
04:47:00,45
04:48:00,46
04:49:00,47
04:50:00,46
04:51:00,46
04:52:00,46
04:53:00,45
04:54:00,45
04:55:00,49
04:56:00,45
04:57:00,44
04:58:00,42
04:59:00,48
05:00:00,53
05:01:00,58
05:02:00,48
05:03:00,43
05:04:00,43
05:05:00,42
05:06:00,42
05:07:00,43
05:08:00,42
05:09:00,43
05:10:00,43
05:11:00,42
05:12:00,42
05:13:00,42
05:14:00,42
05:15:00,43
05:16:00,42
05:17:00,42
05:18:00,43
05:19:00,43
05:20:00,43
05:21:00,43
05:22:00,43
05:23:00,43
05:24:00,43
05:25:00,43
05:26:00,43
05:27:00,43
05:28:00,43
05:29:00,45
05:30:00,44
05:31:00,44
05:32:00,45
05:33:00,45
05:34:00,46
05:35:00,63
05:36:00,47
05:37:00,45
05:38:00,45
05:39:00,46
05:40:00,48
05:41:00,47
05:42:00,48
05:43:00,49
05:44:00,47
05:45:00,52
05:46:00,52
05:47:00,48
05:48:00,48
05:49:00,43
05:50:00,46
05:51:00,45
05:52:00,45
05:53:00,46
05:54:00,45
05:55:00,44
05:56:00,45
05:57:00,45
05:58:00,46
05:59:00,46
06:00:00,45
06:01:00,46
06:02:00,46
06:03:00,45
06:04:00,48
06:05:00,46
06:06:00,51
06:07:00,43
06:08:00,46
06:09:00,44
06:10:00,45
06:11:00,42
06:12:00,56
06:13:00,45
06:14:00,45
06:15:00,45
06:16:00,44
06:17:00,46
06:18:00,45
06:19:00,45
06:20:00,44
06:21:00,42
06:22:00,44
06:23:00,43
06:24:00,43
06:25:00,44
06:26:00,42
06:27:00,42
06:28:00,44
06:29:00,43
06:30:00,44
06:31:00,44
06:32:00,44
06:33:00,43
06:34:00,43
06:35:00,43
06:36:00,43
06:37:00,43
06:38:00,42
06:39:00,43
06:40:00,43
06:41:00,42
06:42:00,42
06:43:00,42
06:44:00,48
06:45:00,42
06:46:00,42
06:47:00,42
06:48:00,42
06:49:00,42
06:50:00,42
06:51:00,42
06:52:00,43
06:53:00,42
06:54:00,42
06:55:00,42
06:56:00,42
06:57:00,41
06:58:00,42
06:59:00,42
07:00:00,42
07:01:00,42
07:02:00,43
07:03:00,42
07:04:00,43
07:05:00,43
07:06:00,43
07:07:00,44
07:08:00,44
07:09:00,44
07:10:00,45
07:11:00,42
07:12:00,42
07:13:00,43
07:14:00,43
07:15:00,43
07:16:00,44
07:17:00,42
07:18:00,44
07:19:00,44
07:20:00,44
07:21:00,43
07:22:00,42
07:23:00,43
07:24:00,42
07:25:00,44
07:26:00,45
07:27:00,49
07:28:00,51
07:29:00,48
07:30:00,51
07:31:00,51
07:32:00,45
07:33:00,50
07:34:00,48
07:35:00,45
07:36:00,51
07:37:00,47
07:38:00,45
07:39:00,46
07:40:00,44
07:41:00,44
07:42:00,44
07:43:00,47
07:44:00,46
07:45:00,44
07:46:00,46
07:47:00,46
07:48:00,43
07:49:00,45
07:50:00,44
07:51:00,49
07:52:00,47
07:53:00,44
07:54:00,44
07:55:00,45
07:56:00,47
07:57:00,47
07:58:00,47
07:59:00,48
08:00:00,47
08:01:00,46
08:02:00,46
08:03:00,46
08:04:00,46
08:05:00,45
08:06:00,45
08:07:00,44
08:08:00,47
08:09:00,51
08:10:00,45
08:11:00,44
08:12:00,44
08:13:00,44
08:14:00,44
08:15:00,49
08:16:00,43
08:17:00,44
08:18:00,44
08:19:00,43
08:20:00,44
08:21:00,43
08:22:00,43
08:23:00,44
08:24:00,54
08:25:00,44
08:26:00,42
08:27:00,45
08:28:00,45
08:29:00,46
08:30:00,50
08:31:00,45
08:32:00,46
08:33:00,44
08:34:00,44
08:35:00,44
08:36:00,46
08:37:00,46
08:38:00,45
08:39:00,45
08:40:00,45
08:41:00,44
08:42:00,47
08:43:00,46
08:44:00,45
08:45:00,45
08:46:00,48
08:47:00,43
08:48:00,43
08:49:00,43
08:50:00,45
08:51:00,42
08:52:00,43
08:53:00,43
08:54:00,43
08:55:00,43
08:56:00,43
08:57:00,43
08:58:00,44
08:59:00,43
09:00:00,43
09:01:00,43
09:02:00,42
09:03:00,42
09:04:00,43
09:05:00,44
09:06:00,41
09:07:00,43
09:08:00,43
09:09:00,44
09:10:00,44
09:11:00,44
09:12:00,45
09:13:00,45
09:14:00,44
09:15:00,44
09:16:00,43
09:17:00,42
09:18:00,43
09:19:00,44
09:20:00,44
09:21:00,43
09:22:00,43
09:23:00,44
09:24:00,43
09:25:00,43
09:26:00,44
09:27:00,44
09:28:00,49
09:29:00,45
09:30:00,43
09:31:00,43
09:32:00,43
09:33:00,42
09:34:00,43
09:35:00,43
09:36:00,44
09:37:00,46
09:38:00,46
09:39:00,45
09:40:00,47
09:41:00,48
09:42:00,47
09:43:00,49
09:44:00,50
09:45:00,44
09:46:00,44
09:47:00,46
09:48:00,46
09:49:00,45
09:50:00,43
09:51:00,46
09:52:00,47
09:53:00,52
09:54:00,46
09:55:00,46
09:56:00,44
09:57:00,45
09:58:00,45
09:59:00,49
10:00:00,45
10:01:00,54
10:02:00,57
10:03:00,50
10:04:00,50
10:05:00,56
10:06:00,51
10:11:00,67
10:12:00,69
10:13:00,49
10:14:00,45
10:15:00,43
10:16:00,43
10:17:00,44
10:18:00,43
10:19:00,43
10:20:00,43
10:21:00,42
10:22:00,43
10:23:00,43
10:24:00,43
10:25:00,42
10:26:00,45
10:27:00,41
10:28:00,41
10:29:00,40
10:30:00,40
10:31:00,40
10:32:00,40
10:33:00,40
10:34:00,40
10:35:00,40
10:36:00,40
10:37:00,40
10:38:00,40
10:39:00,40
10:40:00,40
10:41:00,41
10:42:00,40
10:43:00,40
10:44:00,40
10:45:00,41
10:46:00,41
10:47:00,41
10:48:00,45
10:49:00,48
10:50:00,42
10:51:00,42
10:52:00,42
10:53:00,41
10:54:00,42
10:55:00,43
10:56:00,41
10:57:00,42
10:58:00,45
10:59:00,44
11:00:00,48
11:01:00,48
11:02:00,46
11:03:00,46
11:04:00,49
11:05:00,48
11:06:00,51
11:07:00,46
11:08:00,45
11:09:00,45
11:10:00,48
11:11:00,42
11:12:00,44
11:13:00,47
11:14:00,43
11:15:00,45
11:16:00,44
11:17:00,45
11:18:00,46
11:19:00,45
11:20:00,47
11:21:00,52
11:22:00,43
11:23:00,49
11:24:00,43
11:25:00,44
11:26:00,46
11:27:00,43
11:28:00,43
11:29:00,43
11:30:00,43
11:31:00,45
11:32:00,46
11:33:00,46
11:34:00,51
11:35:00,49
